Timestamp,CPU_Percent,RAM_Used_MB
1765979101,14.3,1317
1765979102,6.5,1318
1765979103,55.8,2122
1765979105,25,2251
1765979106,43.9,2270
1765979107,28.2,2303
1765979108,32.5,2302
1765979109,40.5,2300
1765979111,35.7,2305
1765979112,35.9,2298
1765979113,55,2311
1765979114,51.4,2316
1765979116,50,2285
1765979117,28.6,2615
1765979118,100,3112
1765979119,100,3136
1765979120,100,3160
1765979122,100,3172
1765979123,100,3181
1765979124,100,3157
1765979125,100,3179
1765979127,100,3250
1765979128,100,3240
1765979129,100,3144
1765979130,100,3219
1765979132,100,3186
1765979133,100,3166
1765979134,100,3170
1765979135,100,3204
1765979137,100,3185
1765979138,100,3201
1765979139,100,3176
1765979140,100,3154
1765979142,100,3149
1765979143,100,3181
1765979144,100,3163
1765979145,100,3137
1765979147,100,3172
1765979148,100,3159
1765979149,100,3140
1765979150,100,3151
1765979152,100,3165
1765979153,100,3150
1765979154,100,3144
1765979155,100,3226
1765979157,100,3168
1765979158,100,3191
1765979159,100,3181
1765979160,100,3215
1765979162,100,3210
1765979163,100,3233
1765979164,100,3229
1765979165,100,3202
1765979167,100,2937
1765979168,100,2581
1765979169,8.5,2506
